date,source,device,campaign,impressions,clicks,leads,qualified_leads,customers,spend_pkr
2024-02-07,Display,Desktop,Display / Desktop,189,51,13,1,0,3468.0
2024-02-07,Display,Mobile,Display / Mobile,247,48,13,1,0,3264.0
2024-02-07,Display,Tablet,Display / Tablet,53,11,4,0,0,748.0
2024-02-08,Paid Search,Desktop,Paid Search / Desktop,402,185,72,9,3,31450.0
2024-02-08,Paid Search,Mobile,Paid Search / Mobile,631,167,72,11,4,28390.0
2024-02-08,Paid Search,Tablet,Paid Search / Tablet,109,32,14,3,1,5440.0
2024-02-08,Organic Search,Desktop,Organic Search / Desktop,273,104,36,5,2,3640.0
2024-02-08,Organic Search,Mobile,Organic Search / Mobile,457,132,46,7,2,4620.0
2024-02-08,Organic Search,Tablet,Organic Search / Tablet,72,22,7,1,0,770.0
2024-02-08,Paid Social,Desktop,Paid Social / Desktop,344,118,32,3,1,12390.0
2024-02-08,Paid Social,Mobile,Paid Social / Mobile,414,107,37,3,1,11235.0
2024-02-08,Paid Social,Tablet,Paid Social / Tablet,84,20,6,0,0,2100.0
2024-02-08,Email,Desktop,Email / Desktop,90,44,17,4,2,2112.0
2024-02-08,Email,Mobile,Email / Mobile,155,51,23,4,2,2448.0
2024-02-08,Email,Tablet,Email / Tablet,29,12,5,1,0,576.0
2024-02-08,Display,Desktop,Display / Desktop,176,45,12,1,0,3060.0
2024-02-08,Display,Mobile,Display / Mobile,373,72,19,2,1,4896.0
2024-02-08,Display,Tablet,Display / Tablet,48,10,3,0,0,680.0
2024-02-09,Paid Search,Desktop,Paid Search / Desktop,366,143,54,11,5,24310.0
2024-02-09,Paid Search,Mobile,Paid Search / Mobile,473,131,64,8,3,22270.0
2024-02-09,Paid Search,Tablet,Paid Search / Tablet,132,40,18,2,1,6800.0
2024-02-09,Organic Search,Desktop,Organic Search / Desktop,204,71,32,4,2,2485.0
2024-02-09,Organic Search,Mobile,Organic Search / Mobile,379,101,44,7,3,3535.0
2024-02-09,Organic Search,Tablet,Organic Search / Tablet,87,28,9,1,0,980.0
2024-02-09,Paid Social,Desktop,Paid Social / Desktop,259,88,34,5,2,9240.0
2024-02-09,Paid Social,Mobile,Paid Social / Mobile,534,139,44,4,1,14595.0
2024-02-09,Paid Social,Tablet,Paid Social / Tablet,89,24,8,1,0,2520.0
2024-02-09,Email,Desktop,Email / Desktop,93,54,23,5,2,2592.0
2024-02-09,Email,Mobile,Email / Mobile,157,55,23,4,2,2640.0
2024-02-09,Email,Tablet,Email / Tablet,36,14,6,1,0,672.0
2024-02-09,Display,Desktop,Display / Desktop,226,64,21,2,1,4352.0
2024-02-09,Display,Mobile,Display / Mobile,365,66,19,1,0,4488.0
2024-02-09,Display,Tablet,Display / Tablet,71,17,6,1,0,1156.0
2024-02-10,Paid Search,Desktop,Paid Search / Desktop,310,126,57,8,2,21420.0
2024-02-10,Paid Search,Mobile,Paid Search / Mobile,439,129,59,12,6,21930.0
2024-02-10,Paid Search,Tablet,Paid Search / Tablet,95,34,16,3,1,5780.0
2024-02-10,Organic Search,Desktop,Organic Search / Desktop,219,85,30,4,2,2975.0
2024-02-10,Organic Search,Mobile,Organic Search / Mobile,462,121,46,7,2,4235.0
2024-02-10,Organic Search,Tablet,Organic Search / Tablet,80,22,10,2,1,770.0
2024-02-10,Paid Social,Desktop,Paid Social / Desktop,276,90,26,3,1,9450.0
2024-02-10,Paid Social,Mobile,Paid Social / Mobile,383,89,33,3,1,9345.0
2024-02-10,Paid Social,Tablet,Paid Social / Tablet,83,23,7,1,0,2415.0
2024-02-10,Email,Desktop,Email / Desktop,102,51,19,5,3,2448.0
2024-02-10,Email,Mobile,Email / Mobile,140,56,20,5,2,2688.0
2024-02-10,Email,Tablet,Email / Tablet,30,11,4,1,0,528.0
2024-02-10,Display,Desktop,Display / Desktop,195,58,17,1,0,3944.0
2024-02-10,Display,Mobile,Display / Mobile,293,60,15,1,0,4080.0
2024-02-10,Display,Tablet,Display / Tablet,72,14,4,0,0,952.0
2024-02-11,Paid Search,Desktop,Paid Search / Desktop,458,179,82,11,3,30430.0
2024-02-11,Paid Search,Mobile,Paid Search / Mobile,491,150,59,9,4,25500.0
2024-02-11,Paid Search,Tablet,Paid Search / Tablet,109,36,15,3,1,6120.0
2024-02-11,Organic Search,Desktop,Organic Search / Desktop,302,108,41,5,2,3780.0
2024-02-11,Organic Search,Mobile,Organic Search / Mobile,369,110,44,6,3,3850.0
2024-02-11,Organic Search,Tablet,Organic Search / Tablet,76,22,8,1,0,770.0
2024-02-11,Paid Social,Desktop,Paid Social / Desktop,312,105,32,3,1,11025.0
2024-02-11,Paid Social,Mobile,Paid Social / Mobile,499,108,32,3,1,11340.0
2024-02-11,Paid Social,Tablet,Paid Social / Tablet,81,23,7,1,0,2415.0
2024-02-11,Email,Desktop,Email / Desktop,93,55,21,4,2,2640.0
2024-02-11,Email,Mobile,Email / Mobile,194,70,31,6,3,3360.0
2024-02-11,Email,Tablet,Email / Tablet,25,11,4,1,1,528.0
2024-02-11,Display,Desktop,Display / Desktop,230,62,20,1,0,4216.0
2024-02-11,Display,Mobile,Display / Mobile,265,57,19,2,1,3876.0
2024-02-11,Display,Tablet,Display / Tablet,45,10,3,0,0,680.0
2024-02-12,Paid Search,Desktop,Paid Search / Desktop,414,190,66,11,4,32300.0
2024-02-12,Paid Search,Mobile,Paid Search / Mobile,458,123,52,9,4,20910.0
2024-02-12,Paid Search,Tablet,Paid Search / Tablet,83,25,10,2,1,4250.0
2024-02-12,Organic Search,Desktop,Organic Search / Desktop,239,98,40,7,2,3430.0
2024-02-12,Organic Search,Mobile,Organic Search / Mobile,401,117,53,7,3,4095.0
2024-02-12,Organic Search,Tablet,Organic Search / Tablet,73,24,7,1,0,840.0
2024-02-12,Paid Social,Desktop,Paid Social / Desktop,235,72,25,2,1,7560.0
2024-02-12,Paid Social,Mobile,Paid Social / Mobile,455,108,33,4,1,11340.0
2024-02-12,Paid Social,Tablet,Paid Social / Tablet,94,27,10,1,0,2835.0
2024-02-12,Email,Desktop,Email / Desktop,97,52,19,4,2,2496.0
2024-02-12,Email,Mobile,Email / Mobile,171,59,19,5,3,2832.0
2024-02-12,Email,Tablet,Email / Tablet,37,16,5,1,0,768.0
2024-02-12,Display,Desktop,Display / Desktop,252,68,24,2,1,4624.0
2024-02-12,Display,Mobile,Display / Mobile,343,69,24,2,1,4692.0
2024-02-12,Display,Tablet,Display / Tablet,49,11,4,0,0,748.0
2024-02-13,Paid Search,Desktop,Paid Search / Desktop,304,135,63,10,3,22950.0
2024-02-13,Paid Search,Mobile,Paid Search / Mobile,549,144,58,9,4,24480.0
2024-02-13,Paid Search,Tablet,Paid Search / Tablet,105,32,15,3,1,5440.0
2024-02-13,Organic Search,Desktop,Organic Search / Desktop,214,90,28,3,1,3150.0
2024-02-13,Organic Search,Mobile,Organic Search / Mobile,323,90,41,5,2,3150.0
2024-02-13,Organic Search,Tablet,Organic Search / Tablet,77,23,8,1,0,805.0
2024-02-13,Paid Social,Desktop,Paid Social / Desktop,367,127,40,5,2,13335.0
2024-02-13,Paid Social,Mobile,Paid Social / Mobile,392,98,35,3,1,10290.0
2024-02-13,Paid Social,Tablet,Paid Social / Tablet,72,19,6,1,0,1995.0
2024-02-13,Email,Desktop,Email / Desktop,128,74,28,6,3,3552.0
2024-02-13,Email,Mobile,Email / Mobile,125,53,17,4,1,2544.0
2024-02-13,Email,Tablet,Email / Tablet,28,12,5,1,0,576.0
2024-02-13,Display,Desktop,Display / Desktop,176,43,13,1,0,2924.0
2024-02-13,Display,Mobile,Display / Mobile,285,61,20,1,0,4148.0
2024-02-13,Display,Tablet,Display / Tablet,73,14,4,0,0,952.0
2024-02-14,Paid Search,Desktop,Paid Search / Desktop,435,176,71,15,4,29920.0
2024-02-14,Paid Search,Mobile,Paid Search / Mobile,470,120,41,8,3,20400.0
2024-02-14,Paid Search,Tablet,Paid Search / Tablet,88,31,14,2,1,5270.0
2024-02-14,Organic Search,Desktop,Organic Search / Desktop,229,89,38,6,2,3115.0
2024-02-14,Organic Search,Mobile,Organic Search / Mobile,415,106,41,5,2,3710.0
2024-02-14,Organic Search,Tablet,Organic Search / Tablet,81,21,9,1,0,735.0
2024-02-14,Paid Social,Desktop,Paid Social / Desktop,305,93,34,3,1,9765.0
2024-02-14,Paid Social,Mobile,Paid Social / Mobile,357,88,26,2,1,9240.0
2024-02-14,Paid Social,Tablet,Paid Social / Tablet,72,21,7,1,0,2205.0
2024-02-14,Email,Desktop,Email / Desktop,121,59,21,4,2,2832.0
2024-02-14,Email,Mobile,Email / Mobile,185,61,27,5,2,2928.0
2024-02-14,Email,Tablet,Email / Tablet,24,10,4,1,0,480.0
2024-02-14,Display,Desktop,Display / Desktop,183,48,12,1,0,3264.0
2024-02-14,Display,Mobile,Display / Mobile,338,73,19,2,1,4964.0
2024-02-14,Display,Tablet,Display / Tablet,69,15,4,0,0,1020.0
2024-02-15,Paid Search,Desktop,Paid Search / Desktop,309,115,48,9,4,19550.0
2024-02-15,Paid Search,Mobile,Paid Search / Mobile,500,146,51,8,3,24820.0
2024-02-15,Paid Search,Tablet,Paid Search / Tablet,96,35,16,3,1,5950.0
2024-02-15,Organic Search,Desktop,Organic Search / Desktop,321,120,45,6,3,4200.0
2024-02-15,Organic Search,Mobile,Organic Search / Mobile,364,103,32,5,2,3605.0
2024-02-15,Organic Search,Tablet,Organic Search / Tablet,86,28,9,2,1,980.0
2024-02-15,Paid Social,Desktop,Paid Social / Desktop,269,101,37,4,1,10605.0
2024-02-15,Paid Social,Mobile,Paid Social / Mobile,353,96,28,3,1,10080.0
2024-02-15,Paid Social,Tablet,Paid Social / Tablet,72,19,6,1,0,1995.0
2024-02-15,Email,Desktop,Email / Desktop,113,64,22,6,3,3072.0
2024-02-15,Email,Mobile,Email / Mobile,203,69,26,4,2,3312.0
2024-02-15,Email,Tablet,Email / Tablet,34,14,6,1,0,672.0
2024-02-15,Display,Desktop,Display / Desktop,252,74,22,2,1,5032.0
2024-02-15,Display,Mobile,Display / Mobile,301,54,16,1,0,3672.0
2024-02-15,Display,Tablet,Display / Tablet,52,10,3,0,0,680.0
2024-02-16,Paid Search,Desktop,Paid Search / Desktop,286,126,55,10,4,21420.0
2024-02-16,Paid Search,Mobile,Paid Search / Mobile,634,170,78,14,5,28900.0
2024-02-16,Paid Search,Tablet,Paid Search / Tablet,122,37,15,2,1,6290.0
2024-02-16,Organic Search,Desktop,Organic Search / Desktop,310,114,45,8,3,3990.0
2024-02-16,Organic Search,Mobile,Organic Search / Mobile,405,108,48,9,4,3780.0
2024-02-16,Organic Search,Tablet,Organic Search / Tablet,61,18,8,1,0,630.0
2024-02-16,Paid Social,Desktop,Paid Social / Desktop,246,85,30,3,1,8925.0
2024-02-16,Paid Social,Mobile,Paid Social / Mobile,378,87,26,3,1,9135.0
2024-02-16,Paid Social,Tablet,Paid Social / Tablet,93,24,7,1,0,2520.0
2024-02-16,Email,Desktop,Email / Desktop,130,75,25,4,2,3600.0
2024-02-16,Email,Mobile,Email / Mobile,155,60,24,6,3,2880.0
2024-02-16,Email,Tablet,Email / Tablet,28,11,5,1,0,528.0
2024-02-16,Display,Desktop,Display / Desktop,208,56,15,1,0,3808.0
2024-02-16,Display,Mobile,Display / Mobile,370,79,26,3,1,5372.0
2024-02-16,Display,Tablet,Display / Tablet,48,10,3,0,0,680.0
2024-02-17,Paid Search,Desktop,Paid Search / Desktop,291,131,62,11,5,22270.0
2024-02-17,Paid Search,Mobile,Paid Search / Mobile,475,149,60,10,5,25330.0
2024-02-17,Paid Search,Tablet,Paid Search / Tablet,84,27,14,3,1,4590.0
2024-02-17,Organic Search,Desktop,Organic Search / Desktop,287,119,51,5,2,4165.0
2024-02-17,Organic Search,Mobile,Organic Search / Mobile,460,131,51,9,4,4585.0
2024-02-17,Organic Search,Tablet,Organic Search / Tablet,72,22,9,1,0,770.0
2024-02-17,Paid Social,Desktop,Paid Social / Desktop,276,96,35,3,1,10080.0
2024-02-17,Paid Social,Mobile,Paid Social / Mobile,446,105,40,4,2,11025.0
2024-02-17,Paid Social,Tablet,Paid Social / Tablet,99,27,10,1,0,2835.0
2024-02-17,Email,Desktop,Email / Desktop,131,63,20,5,2,3024.0
2024-02-17,Email,Mobile,Email / Mobile,148,58,26,5,2,2784.0
2024-02-17,Email,Tablet,Email / Tablet,24,11,4,1,1,528.0
2024-02-17,Display,Desktop,Display / Desktop,231,71,20,2,1,4828.0
2024-02-17,Display,Mobile,Display / Mobile,336,73,20,1,0,4964.0
2024-02-17,Display,Tablet,Display / Tablet,67,13,4,0,0,884.0
2024-02-18,Paid Search,Desktop,Paid Search / Desktop,432,169,66,11,5,28730.0
2024-02-18,Paid Search,Mobile,Paid Search / Mobile,702,215,78,15,6,36550.0
2024-02-18,Paid Search,Tablet,Paid Search / Tablet,122,40,19,4,2,6800.0
2024-02-18,Organic Search,Desktop,Organic Search / Desktop,267,112,42,7,3,3920.0
2024-02-18,Organic Search,Mobile,Organic Search / Mobile,459,130,42,5,2,4550.0
2024-02-18,Organic Search,Tablet,Organic Search / Tablet,76,23,10,2,1,805.0
2024-02-18,Paid Social,Desktop,Paid Social / Desktop,284,95,31,4,2,9975.0
2024-02-18,Paid Social,Mobile,Paid Social / Mobile,422,115,41,4,1,12075.0
2024-02-18,Paid Social,Tablet,Paid Social / Tablet,84,21,7,1,0,2205.0
2024-02-18,Email,Desktop,Email / Desktop,86,43,19,3,1,2064.0
2024-02-18,Email,Mobile,Email / Mobile,129,51,17,3,1,2448.0
2024-02-18,Email,Tablet,Email / Tablet,33,12,5,1,0,576.0
2024-02-18,Display,Desktop,Display / Desktop,223,67,17,1,0,4556.0
2024-02-18,Display,Mobile,Display / Mobile,262,56,19,2,1,3808.0
2024-02-18,Display,Tablet,Display / Tablet,56,12,4,0,0,816.0
2024-02-19,Paid Search,Desktop,Paid Search / Desktop,313,143,51,9,4,24310.0
2024-02-19,Paid Search,Mobile,Paid Search / Mobile,551,166,69,9,3,28220.0
2024-02-19,Paid Search,Tablet,Paid Search / Tablet,120,34,13,3,1,5780.0
2024-02-19,Organic Search,Desktop,Organic Search / Desktop,314,115,41,5,2,4025.0
2024-02-19,Organic Search,Mobile,Organic Search / Mobile,319,80,36,4,2,2800.0
2024-02-19,Organic Search,Tablet,Organic Search / Tablet,64,19,8,1,0,665.0
2024-02-19,Paid Social,Desktop,Paid Social / Desktop,360,138,49,6,2,14490.0
2024-02-19,Paid Social,Mobile,Paid Social / Mobile,411,93,33,3,1,9765.0
2024-02-19,Paid Social,Tablet,Paid Social / Tablet,96,26,10,1,0,2730.0
2024-02-19,Email,Desktop,Email / Desktop,107,56,20,5,2,2688.0
2024-02-19,Email,Mobile,Email / Mobile,156,57,21,5,2,2736.0
2024-02-19,Email,Tablet,Email / Tablet,25,11,4,1,0,528.0
2024-02-19,Display,Desktop,Display / Desktop,184,47,16,2,1,3196.0
2024-02-19,Display,Mobile,Display / Mobile,249,52,17,1,0,3536.0
2024-02-19,Display,Tablet,Display / Tablet,60,13,4,0,0,884.0
2024-02-20,Paid Search,Desktop,Paid Search / Desktop,320,117,48,8,2,19890.0
2024-02-20,Paid Search,Mobile,Paid Search / Mobile,697,183,83,16,6,31110.0
2024-02-20,Paid Search,Tablet,Paid Search / Tablet,89,28,14,2,1,4760.0
2024-02-20,Organic Search,Desktop,Organic Search / Desktop,202,77,33,6,2,2695.0
2024-02-20,Organic Search,Mobile,Organic Search / Mobile,328,80,25,4,1,2800.0
2024-02-20,Organic Search,Tablet,Organic Search / Tablet,81,26,11,1,0,910.0
2024-02-20,Paid Social,Desktop,Paid Social / Desktop,297,108,31,3,1,11340.0
2024-02-20,Paid Social,Mobile,Paid Social / Mobile,581,126,44,5,1,13230.0
2024-02-20,Paid Social,Tablet,Paid Social / Tablet,66,17,6,1,0,1785.0
2024-02-20,Email,Desktop,Email / Desktop,119,64,20,5,2,3072.0
2024-02-20,Email,Mobile,Email / Mobile,139,49,18,4,2,2352.0
2024-02-20,Email,Tablet,Email / Tablet,26,10,3,1,0,480.0
2024-02-20,Display,Desktop,Display / Desktop,164,50,13,1,0,3400.0
2024-02-20,Display,Mobile,Display / Mobile,276,58,21,1,0,3944.0
2024-02-20,Display,Tablet,Display / Tablet,72,16,5,0,0,1088.0
2024-02-21,Paid Search,Desktop,Paid Search / Desktop,336,125,44,8,3,21250.0
2024-02-21,Paid Search,Mobile,Paid Search / Mobile,535,154,56,7,3,26180.0
2024-02-21,Paid Search,Tablet,Paid Search / Tablet,130,47,23,4,1,7990.0
2024-02-21,Organic Search,Desktop,Organic Search / Desktop,252,90,28,4,2,3150.0
2024-02-21,Organic Search,Mobile,Organic Search / Mobile,366,95,37,6,2,3325.0
2024-02-21,Organic Search,Tablet,Organic Search / Tablet,67,18,8,1,0,630.0
2024-02-21,Paid Social,Desktop,Paid Social / Desktop,365,136,43,4,2,14280.0
2024-02-21,Paid Social,Mobile,Paid Social / Mobile,494,116,44,4,1,12180.0
2024-02-21,Paid Social,Tablet,Paid Social / Tablet,84,21,6,1,0,2205.0
2024-02-21,Email,Desktop,Email / Desktop,95,50,22,4,2,2400.0
2024-02-21,Email,Mobile,Email / Mobile,180,63,23,6,2,3024.0
2024-02-21,Email,Tablet,Email / Tablet,36,14,5,1,1,672.0
2024-02-21,Display,Desktop,Display / Desktop,208,63,19,1,0,4284.0
2024-02-21,Display,Mobile,Display / Mobile,279,55,14,2,1,3740.0
2024-02-21,Display,Tablet,Display / Tablet,71,16,4,0,0,1088.0
2024-02-22,Paid Search,Desktop,Paid Search / Desktop,403,149,68,10,3,25330.0
2024-02-22,Paid Search,Mobile,Paid Search / Mobile,482,149,55,9,4,25330.0
2024-02-22,Paid Search,Tablet,Paid Search / Tablet,101,35,14,3,1,5950.0
2024-02-22,Organic Search,Desktop,Organic Search / Desktop,310,128,57,7,3,4480.0
2024-02-22,Organic Search,Mobile,Organic Search / Mobile,458,115,39,4,1,4025.0
2024-02-22,Organic Search,Tablet,Organic Search / Tablet,89,26,12,1,0,910.0
2024-02-22,Paid Social,Desktop,Paid Social / Desktop,293,109,38,3,1,11445.0
2024-02-22,Paid Social,Mobile,Paid Social / Mobile,379,93,35,3,1,9765.0
2024-02-22,Paid Social,Tablet,Paid Social / Tablet,73,19,7,1,0,1995.0
2024-02-22,Email,Desktop,Email / Desktop,87,48,15,3,1,2304.0
2024-02-22,Email,Mobile,Email / Mobile,200,74,26,5,2,3552.0
2024-02-22,Email,Tablet,Email / Tablet,34,12,4,1,0,576.0
2024-02-22,Display,Desktop,Display / Desktop,195,58,16,1,0,3944.0
2024-02-22,Display,Mobile,Display / Mobile,250,47,15,1,0,3196.0
2024-02-22,Display,Tablet,Display / Tablet,64,13,5,0,0,884.0
2024-02-23,Paid Search,Desktop,Paid Search / Desktop,449,176,74,14,5,29920.0
2024-02-23,Paid Search,Mobile,Paid Search / Mobile,448,120,58,10,5,20400.0
2024-02-23,Paid Search,Tablet,Paid Search / Tablet,87,27,13,2,1,4590.0
2024-02-23,Organic Search,Desktop,Organic Search / Desktop,282,101,34,4,2,3535.0
2024-02-23,Organic Search,Mobile,Organic Search / Mobile,394,106,42,5,2,3710.0
